BL_17_cosmics_vb58_50k_2808={0.216789,0.028940,-0.075950,0.191070,-0.069346,-0.239871,-0.034445,-0.050562}
BL_17_cosmics_vb58_50k_2808={0.202280,0.021692,-0.090663,0.187542,-0.075923,-0.253036,-0.039861,-0.055087}
BL_17_cosmics_vb58_50k_2808={0.202280,0.021692,-0.090663,0.187542,-0.075923,-0.253036,-0.039861,-0.055087}
BL_3_1304_day={0.209686,0.016732,-0.106530,-0.000695,-0.020367,-0.062196,-0.101780,0.065037}
BL_3_1304_day={0.209686,0.016732,-0.106530,-0.000695,-0.020367,-0.062196,-0.101780,0.065037}
BL_3_1304_day={0.209686,0.016732,-0.106530,-0.000695,-0.020367,-0.062196,-0.101780,0.065037}
BL_3_1304_day={0.209686,0.016732,-0.106530,-0.000695,-0.020367,-0.062196,-0.101780,0.065037}
BL_3_1304_day={0.209686,0.016732,-0.106530,-0.000695,-0.020367,-0.062196,-0.101780,0.065037}
BL_3_1304_day={0.209686,0.016732,-0.106530,-0.000695,-0.020367,-0.062196,-0.101780,0.065037}
BL_3_1304_day={0.209686,0.016732,-0.106530,-0.000695,-0.020367,-0.062196,-0.101780,0.065037}
BL_3_1304_day={0.209686,0.016732,-0.106530,-0.000695,-0.020367,-0.062196,-0.101780,0.065037}
BL_3_1304_day={0.209686,0.016732,-0.106530,-0.000695,-0.020367,-0.062196,-0.101780,0.065037}
BL_3_1304_day={0.209686,0.016732,-0.106530,-0.000695,-0.020367,-0.062196,-0.101780,0.065037}
BL_3_1304_day={0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000}
BL_3_1304_day={0.209526,0.016163,-0.106451,-0.001016,-0.020457,-0.061536,-0.102000,0.064134}
BL_3_1304_day={0.209526,0.016163,-0.106451,-0.001016,-0.020457,-0.061536,-0.102000,0.064134}
BL_26_2604_day={0.234642,0.002547,-0.116634,-0.007345,-0.019482,-0.091266,-0.113732,0.072810}
BL_26_2604_day={0.234587,0.002555,-0.116606,-0.007390,-0.019552,-0.091317,-0.113717,0.072763}
BL_26_2604_day={0.234587,0.002555,-0.116606,-0.007390,-0.019552,-0.091317,-0.113717,0.072763}
BL_26_2604_day={0.234587,0.002555,-0.116606,-0.007390,-0.019552,-0.091317,-0.113717,0.072763}
BL_00_12to18_day={0.402172,-0.060843,2.472791,-0.183667,3.114081,-0.111189,2.295449,-5.006125}
BL_99_2604_day={0.234587,0.002555,-0.116606,-0.007390,-0.019552,-0.091317,-0.113717,0.072763}
BL_00_12to18_day={0.221364,0.014847,-0.110549,0.003394,-0.003702,-0.055522,-0.095559,0.072081}
BL_99_2604_day={0.234587,0.002555,-0.116606,-0.007390,-0.019552,-0.091317,-0.113717,0.072763}
BL_10_12to21_night={0.233600,0.005071,-0.112085,-0.013293,0.004384,-0.062466,-0.110169,0.074498}
BL_99_2604_day={0.234587,0.002555,-0.116606,-0.007390,-0.019552,-0.091317,-0.113717,0.072763}
BL_200_02to0507_day={0.037656,0.052912,-0.286918,-0.388965,2.771159,-0.096330,-0.292300,-0.032064}
BL_99_2604_day={0.234587,0.002555,-0.116606,-0.007390,-0.019552,-0.091317,-0.113717,0.072763}
BL_200_02to0507_day={0.267006,-0.095892,-0.076039,-0.096133,-0.114218,-0.131337,-0.249686,0.112953}
BL_99_2604_day={0.234587,0.002555,-0.116606,-0.007390,-0.019552,-0.091317,-0.113717,0.072763}
BL_222_02to12_day={0.278051,-0.083151,-0.088372,-0.083632,-0.125053,-0.142512,-0.280881,0.102525}
BL_99_2604_day={0.234587,0.002555,-0.116606,-0.007390,-0.019552,-0.091317,-0.113717,0.072763}
